,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SOUTH KOREA - K LEAGUE 2,19/08/2023,07:00,Ansan Greeners,Asan,3.6,3.4,1.91,1.98,1.83,1.8,1.1,1.91,1.1,1.8,1.1,1.5,0.278,0.294,0.524,0.505,0.909,0.308,0.0,0.3,1,0.6615
2,SWEDEN - SUPERETTAN,19/08/2023,08:00,Landskrona,Brage,2.25,3.4,2.8,1.8,2.0,1.62,1.14,2.2,1.5,1.1,0.8,1.9,0.444,0.294,0.357,0.556,0.877,0.168,0.7,-0.8,1,0.666
3,SWEDEN - ALLSVENSKAN,19/08/2023,10:00,Degerfors,Goteborg,2.75,3.5,2.5,1.88,1.98,1.7,1.13,2.05,1.1,1.5,0.9,1.6,0.364,0.286,0.4,0.532,0.885,0.136,0.2,-0.1,1,0.5287
4,BELGIUM - JUPILER PRO LEAGUE,19/08/2023,11:00,St. Liege,Cercle Brugge KSV,2.9,3.4,2.38,1.7,2.1,1.62,1.17,2.2,1.7,1.4,2.0,1.6,0.345,0.294,0.42,0.588,0.855,0.147,-0.3,-0.2,1,0.5375
5,SCOTLAND - LEAGUE TWO,19/08/2023,11:00,East Fife,Stenhousemuir,2.25,3.4,2.7,1.75,2.05,1.67,1.14,2.1,2.0,1.0,1.1,1.5,0.444,0.294,0.37,0.571,0.877,0.166,0.9,-0.5,1,0.6841
6,AUSTRIA - BUNDESLIGA,19/08/2023,12:00,Tirol,LASK,5.0,4.0,1.67,1.53,2.4,1.53,1.22,2.38,1.2,1.3,1.1,1.2,0.2,0.25,0.599,0.654,0.82,0.508,0.1,0.1,1,0.8082
7,AUSTRIA - BUNDESLIGA,19/08/2023,12:00,A. Lustenau,Sturm Graz,6.0,4.5,1.5,1.53,2.4,1.67,1.22,2.1,2.0,1.5,1.6,1.1,0.167,0.222,0.667,0.654,0.82,0.636,0.4,0.4,1,0.7756
8,SPAIN - LALIGA2,19/08/2023,12:00,Eibar,Elche,2.2,3.1,3.6,2.4,1.53,2.1,1.05,1.67,0.9,0.9,0.5,1.8,0.455,0.323,0.278,0.417,0.952,0.213,0.4,-0.9,1,0.5681
9,SWEDEN - ALLSVENSKAN,19/08/2023,12:30,Varberg,Varnamo,2.9,3.25,2.5,2.0,1.85,1.75,1.1,2.0,0.8,2.2,1.0,1.4,0.345,0.308,0.4,0.5,0.909,0.108,-0.2,0.8,1,0.7361
10,BELGIUM - CHALLENGER PRO LEAGUE,19/08/2023,15:00,Beveren,Seraing,1.8,3.5,3.8,1.7,2.1,1.67,1.17,2.1,2.6,0.9,0.9,2.7,0.556,0.286,0.263,0.588,0.855,0.361,1.7,-1.8,1,0.6519
11,BELGIUM - JUPILER PRO LEAGUE,19/08/2023,15:45,KV Mechelen,Royale Union SG,4.75,3.8,1.7,1.62,2.25,1.62,1.2,2.2,1.6,1.5,1.8,1.6,0.211,0.263,0.588,0.617,0.833,0.471,-0.2,-0.1,1,0.5677
12,ARGENTINA - PRIMERA NACIONAL,19/08/2023,16:00,Atletico Atlanta,Chacarita Juniors,3.3,3.1,2.3,2.5,1.5,2.1,1.05,1.67,1.5,1.7,1.1,0.7,0.303,0.323,0.435,0.4,0.952,0.164,0.4,1.0,1,0.6066
13,SPAIN - LALIGA2,19/08/2023,17:00,Alcorcon,Leganes,2.55,2.88,3.25,2.7,1.44,2.2,1.04,1.62,1.1,0.5,0.6,1.1,0.392,0.347,0.308,0.37,0.962,0.098,0.5,-0.6,1,0.5345
14,ARGENTINA - COPA DE LA LIGA PROFESIONAL,19/08/2023,19:00,Gimnasia L.P.,Talleres Cordoba,3.5,3.5,2.05,2.3,1.6,2.0,1.06,1.73,1.0,0.9,1.7,1.0,0.286,0.286,0.488,0.435,0.943,0.27,-0.7,-0.1,1,0.5043
